ds,y
2021-08-06,-45
2021-08-09,14
2021-08-10,-3
2021-08-11,-3
2021-08-12,13
2021-08-13,-8
2021-08-16,-27
2021-08-17,-11
2021-08-18,18
2021-08-19,-11
2021-08-20,5
2021-08-23,20
2021-08-24,1
2021-08-25,2
2021-08-26,-9
2021-08-27,8
2021-08-30,16
2021-08-31,3
2021-09-01,-2
2021-09-02,-4
2021-09-03,1
2021-09-06,2
2021-09-07,15
2021-09-08,4
2021-09-09,0
2021-09-10,-16
2021-09-13,7
2021-09-14,0
2021-09-15,10
2021-09-16,-260
2021-09-17,3
2021-09-20,-25
2021-09-21,9
2021-09-22,11
2021-09-23,0
2021-09-24,18
2021-09-27,17
2021-09-28,-11
2021-09-29,8
2021-09-30,-5
2021-10-01,-1
2021-10-04,4
2021-10-05,2
2021-10-06,3
2021-10-07,9
2021-10-08,-7
2021-10-11,7
2021-10-12,12
2021-10-13,0
2021-10-14,7
2021-10-15,19
2021-10-18,25
2021-10-19,-8
2021-10-20,0
2021-10-21,28
2021-10-22,12
2021-10-25,100
2021-10-26,-2
2021-10-27,16
2021-10-28,27
2021-10-29,41
2021-11-01,80
2021-11-02,-36
2021-11-03,35
2021-11-04,24
2021-11-05,-14
2021-11-08,-49
2021-11-09,-123
2021-11-10,56
2021-11-11,-7
2021-11-12,-25
2021-11-15,-44
2021-11-16,41
2021-11-17,31
2021-11-18,1
2021-11-19,41
2021-11-22,23
2021-11-23,-44
2021-11-24,10
2021-11-25,0
2021-11-26,-41
2021-11-29,53
2021-11-30,3
2021-12-01,-41
2021-12-02,-11
2021-12-03,-61
2021-12-06,-3
2021-12-07,37
2021-12-08,11
2021-12-09,-53
2021-12-10,10
2021-12-13,-42
2021-12-14,-5
2021-12-15,11
2021-12-16,-45
2021-12-17,15
2021-12-20,-34
2021-12-21,32
2021-12-22,58
2021-12-23,53
2021-12-27,23
2021-12-28,-3
2021-12-29,-5
2021-12-30,-7
2022-01-03,111
2022-01-04,-40
2022-01-05,-56
2022-01-06,-23
2022-01-07,-38
2022-01-10,28
2022-01-11,4
2022-01-12,237
2022-01-13,-65
2022-01-14,19
2022-01-17,-3
2022-01-18,-8
2022-01-19,-32
2022-01-20,5
2022-01-21,-48
2022-01-24,-10
2022-01-25,-10
2022-01-26,20
2022-01-27,-89
2022-01-28,14
2022-01-31,73
2022-02-01,-6
2022-02-02,-26
2022-02-03,-19
2022-02-04,26
2022-02-07,-17
2022-02-08,17
2022-02-09,8
2022-02-10,-23
2022-02-11,-30
2022-02-14,14
2022-02-15,35
2022-02-16,-1
2022-02-17,-39
2022-02-18,-15
2022-02-21,-31
2022-02-22,-1
2022-02-23,-47
2022-02-24,37
2022-02-25,3
2022-02-28,58
2022-03-01,-1
2022-03-02,16
2022-03-03,-32
2022-03-04,8
2022-03-07,-23
2022-03-08,12
2022-03-09,20
2022-03-10,-12
2022-03-11,-34
2022-03-14,-48
2022-03-15,33
2022-03-16,29
2022-03-17,20
2022-03-18,37
2022-03-21,21
2022-03-22,54
2022-03-23,13
2022-03-24,12
2022-03-25,-1
2022-03-28,76
2022-03-29,-3
2022-03-30,-13
2022-03-31,-1
2022-04-01,4
2022-04-04,62
2022-04-05,-41
2022-04-06,-41
2022-04-07,11
2022-04-08,-27
2022-04-11,-48
2022-04-12,14
2022-04-13,29
2022-04-14,-29
2022-04-19,40
2022-04-20,-51
2022-04-21,32
2022-04-22,0
2022-04-25,1
2022-04-26,-108
2022-04-27,11
2022-04-28,-1
2022-04-29,-8
2022-05-02,33
2022-05-03,4
2022-05-04,34
2022-05-05,-71
2022-05-06,-5
2022-05-09,-74
2022-05-10,45
2022-05-11,-64
2022-05-12,4
2022-05-13,38
2022-05-16,-46
2022-05-17,28
2022-05-18,-41
2022-05-19,-11
2022-05-20,-40
2022-05-23,3
2022-05-24,-47
2022-05-25,31
2022-05-26,44
2022-05-27,46
2022-05-30,21
2022-05-31,-21
2022-06-01,-10
2022-06-02,27
2022-06-03,-67
2022-06-06,13
2022-06-07,0
2022-06-08,8
2022-06-09,1
2022-06-10,-15
2022-06-13,-40
2022-06-14,13
2022-06-15,33
2022-06-16,-64
2022-06-17,14
2022-06-20,6
2022-06-21,50
2022-06-22,-5
2022-06-23,-1
2022-06-24,28
2022-06-27,-4
2022-06-28,-30
2022-06-29,-7
2022-06-30,-13
2022-07-01,9
2022-07-04,-9
2022-07-05,37
2022-07-06,2
2022-07-07,40
2022-07-08,-6
